idh_ch,region_c,factor_ch,inc_total_ch,inc_proxy_ch,inc_proxy_ch_pc,inc_total_norm_ch_pc,shock,inc_after_shock,poor_before,poor_after,poor_new,afectados,P1_elegible,P2_elegible,P3_elegible,P4_elegible,P5_elegible,P6_elegible,P1_benef,P2_benef,P3_benef,P4_benef,P5_benef,P6_benef,P_benef,P_no_benef
1,mun3,122," $1,072.5 "," $1,170.6 ", $234.1 , $431.0 , $73.5 , $357.5 ,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
2,mun3,123," $1,955.0 "," $2,033.1 ", $508.3 , $935.8 , $98.9 , $836.8 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3,mun3,124, $125.0 , $185.2 , $185.2 , $341.0 , $73.9 , $267.1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,mun3,123, $135.0 , $222.6 , $111.3 , $204.9 , $91.5 , $113.5 ,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
5,mun3,123, $902.5 , $993.0 , $496.5 , $914.1 , $90.8 , $823.3 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
6,mun3,123, $694.2 , $788.5 , $197.1 , $362.9 , $138.4 , $224.5 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7,mun3,123, $853.1 , $928.6 , $309.5 , $569.9 , $73.5 , $496.4 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
8,mun3,123, $500.0 , $620.7 , $206.9 , $380.9 , $119.0 , $261.9 ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
9,mun3,123, $912.5 , $978.8 , $489.4 , $901.0 , $116.9 , $784.1 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
10,mun3,122, $702.5 , $791.5 , $263.8 , $485.7 , $79.5 , $406.2 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
11,mun3,122," $1,389.8 "," $1,489.7 ", $297.9 , $548.5 , $57.1 , $491.4 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
12,mun3,276, $967.5 ," $1,011.2 ", $337.1 , $620.6 , $73.3 , $547.3 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
13,mun3,272, $20.0 , $139.6 , $139.6 , $257.0 , $117.8 , $139.2 ,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
14,mun3,274, $412.5 , $489.9 , $54.4 , $100.2 , $92.4 , $7.8 ,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0
15,mun3,275, $633.8 , $728.1 , $182.0 , $335.1 , $104.2 , $231.0 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
16,mun3,276, $351.7 , $490.1 , $163.4 , $300.7 , $109.7 , $191.1 ,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
